dataset: wikitext103
attn_type: mha
n_kv_head: 8
n_head: 8
n_layer: 8
n_embd: 512
batch_size: 64
block_size: 2048
gradient_accumulation_steps: 1
max_iters: 3000
step,train_loss,val_loss,iter,loss,time_ms,mfu_pct
,,,1630,3.5841,339.09,130.55
,,,1640,3.5373,339.71,122.52
,,,1650,3.5971,339.29,115.29
,,,1660,3.5022,338.38,108.81
,,,1670,3.5608,339.92,102.94
,,,1680,3.5439,340.47,97.66
,,,1690,3.5462,339.70,92.92
,,,1700,3.6168,338.08,88.67
,,,1710,3.5129,338.34,84.85
,,,1720,3.5749,48.01,111.90
,,,1730,3.5340,339.32,105.74
,,,1740,3.4858,338.46,100.20
,,,1750,3.5884,339.71,95.21
,,,1760,3.5075,338.62,90.72
,,,1770,3.6077,340.05,86.67
,,,1780,3.5727,339.01,83.03
,,,1790,3.4502,339.19,79.76
,,,1800,3.4326,340.14,76.80
,,,1810,3.5604,339.58,74.14
,,,1820,3.4692,339.66,71.75
,,,1830,3.5475,338.46,69.62
,,,1840,3.5360,338.45,67.70
,,,1850,3.4370,339.58,65.95
,,,1860,3.4500,339.03,64.39
,,,1870,3.5126,339.02,62.98
,,,1880,3.5062,339.00,61.72
,,,1890,3.4439,338.14,60.59
,,,1900,3.5264,338.64,59.57
,,,1910,3.5661,317.74,58.98
,,,1920,3.5063,338.69,58.12
,,,1930,3.4890,301.44,57.97
,,,1940,3.4884,313.93,57.61
,,,1950,3.4147,337.82,56.89
,,,1960,3.4890,339.76,56.23
,,,1970,3.3801,338.20,55.65
,,,1980,3.5015,339.45,55.11
,,,1990,3.4078,338.80,54.63
2000,3.4511,3.4653,,,,
,,,2000,3.5068,49104.98,49.21
,,,2010,3.5458,339.18,49.31
,,,2020,3.4805,339.41,49.41
,,,2030,3.4034,338.15,49.51
,,,2040,3.5614,340.01,49.58
,,,2050,3.4396,339.10,49.65
,,,2060,3.3340,340.06,49.70
,,,2070,3.3740,338.62,49.77
,,,2080,3.4420,338.90,49.83
,,,2090,3.3851,339.74,49.87
,,,2100,3.4426,1784.45,45.84
,,,2110,3.3987,338.55,46.29
,,,2120,3.4505,338.35,46.71
,,,2130,3.4504,339.86,47.06
,,,2140,3.3631,340.27,47.36
,,,2150,3.4038,338.29,47.67
,,,2160,3.3511,338.98,47.94
,,,2170,3.3964,339.32,48.17
,,,2180,3.4073,339.24,48.38
,,,2190,3.4487,338.35,48.59
,,,2200,3.3705,339.10,48.76
,,,2210,3.4176,962.78,45.65
,,,2220,3.3662,338.38,46.13
,,,2230,3.4301,339.69,46.54
,,,2240,3.3359,338.25,46.93
,,,2250,3.3628,307.95,47.78
,,,2260,3.3741,339.02,48.03
,,,2270,3.3618,16.22,148.44
,,,2280,3.4370,338.67,138.63
,,,2290,3.3829,338.71,129.81
,,,2300,3.4282,338.17,121.87
,,,2310,3.3394,339.42,114.71
,,,2320,3.3728,338.09,108.29
,,,2330,3.4465,338.79,102.49
,,,2340,3.3395,337.75,97.30
,,,2350,3.2967,338.04,92.61
,,,2360,3.3884,340.02,88.37
,,,2370,3.3557,338.53,84.57
,,,2380,3.3677,339.75,81.14
,,,2390,3.3693,339.58,78.05
,,,2400,3.3442,339.21,75.27
,,,2410,3.4153,339.09,72.77
,,,2420,3.3002,340.12,70.51
,,,2430,3.2975,339.40,68.49
,,,2440,3.4567,338.81,66.68
,,,2450,3.2943,338.97,65.04
,,,2460,3.3485,339.02,63.57
,,,2470,3.2600,338.37,62.25
,,,2480,3.3807,339.43,61.05
,,,2490,3.3549,338.85,59.98
2500,3.3423,3.3761,,,,
,,,2500,3.2904,49224.48,54.02
,,,2510,3.3329,339.39,53.65
,,,2520,3.3488,338.29,53.32
,,,2530,3.4156,340.69,53.00
,,,2540,3.3883,339.26,52.73
,,,2550,3.3693,339.94,52.47
,,,2560,3.3937,339.15,52.26
,,,2570,3.2828,339.30,52.06
,,,2580,3.3513,339.09,51.88
,,,2590,3.2865,338.96,51.73
,,,2600,3.3399,339.65,51.58
,,,2610,3.2834,338.07,51.47
,,,2620,3.3718,340.04,51.34
,,,2630,3.3638,338.65,51.24
,,,2640,3.3989,339.55,51.14
,,,2650,3.3756,339.25,51.06
,,,2660,3.2761,339.78,50.97
,,,2670,3.3254,337.97,50.92
,,,2680,3.3805,340.22,50.84
,,,2690,3.3506,338.72,50.80
,,,2700,3.2866,339.78,50.74
,,,2710,3.2958,315.92,51.06
,,,2720,3.2801,339.98,50.98
,,,2730,3.3584,241.41,52.95
,,,2740,3.3762,338.63,52.69
,,,2750,3.3729,339.10,52.45
,,,2760,3.1877,339.97,52.22
,,,2770,3.3101,338.95,52.04
,,,2780,3.2376,339.54,51.86
,,,2790,3.2220,337.87,51.72
,,,2800,3.1748,340.04,51.57
,,,2810,3.3404,338.82,51.44
,,,2820,3.2052,339.99,51.32
,,,2830,3.2552,17.12,145.83
,,,2840,3.3547,340.16,136.27
,,,2850,3.2709,339.19,127.67
,,,2860,3.2595,339.95,119.92
,,,2870,3.2136,337.74,112.98
,,,2880,3.2605,340.33,106.69
,,,2890,3.2834,338.53,101.06
,,,2900,3.2533,338.59,96.00
,,,2910,3.2302,338.95,91.43
,,,2920,3.3108,338.25,87.33
,,,2930,3.3153,340.56,83.61
,,,2940,3.2182,338.65,80.28
,,,2950,3.3468,15.77,180.43
,,,2960,3.2024,338.12,167.43
,,,2970,3.2362,339.03,155.72
,,,2980,3.3180,339.81,145.17
,,,2990,3.2485,339.05,135.69
3000,3.2625,3.3097,,,,
,,,3000,3.2377,49462.88,122.15
