dataset: wikitext103
attn_type: gqa
n_kv_head: 1
n_head: 8
n_layer: 8
n_embd: 512
batch_size: 64
block_size: 2048
gradient_accumulation_steps: 1
max_iters: 3000
step,train_loss,val_loss,iter,loss,time_ms,mfu_pct
,,,1630,3.6844,335.40,46.97
,,,1640,3.7008,335.07,47.08
,,,1650,3.6203,335.55,47.18
,,,1660,3.4733,335.55,47.27
,,,1670,3.5952,335.23,47.36
,,,1680,3.6656,167.12,52.28
,,,1690,3.6401,335.82,51.86
,,,1700,3.6283,335.44,51.48
,,,1710,3.5832,335.15,51.15
,,,1720,3.6868,335.20,50.85
,,,1730,3.5060,262.22,51.91
,,,1740,3.6281,335.91,51.53
,,,1750,3.6521,336.01,51.18
,,,1760,3.5416,335.81,50.86
,,,1770,3.4982,335.52,50.59
,,,1780,3.5422,335.97,50.33
,,,1790,3.5579,336.65,50.09
,,,1800,3.4973,336.05,49.88
,,,1810,3.5616,336.59,49.69
,,,1820,3.5701,335.49,49.53
,,,1830,3.4456,335.05,49.39
,,,1840,3.5458,335.87,49.26
,,,1850,3.5169,337.17,49.12
,,,1860,3.6103,336.38,49.00
,,,1870,3.5483,335.38,48.91
,,,1880,3.5759,335.47,48.83
,,,1890,3.5394,335.27,48.76
,,,1900,3.6483,335.73,48.69
,,,1910,3.5945,335.10,48.64
,,,1920,3.5587,335.41,48.58
,,,1930,3.5017,336.40,48.52
,,,1940,3.6168,335.65,48.48
,,,1950,3.4399,336.12,48.43
,,,1960,3.4559,335.53,48.40
,,,1970,3.4217,336.35,48.35
,,,1980,3.4867,335.72,48.32
,,,1990,3.5472,335.40,48.30
2000,3.4930,3.5102,,,,
,,,2000,3.4823,47686.51,43.51
,,,2010,3.4082,335.32,43.97
,,,2020,3.4510,339.19,44.33
,,,2030,3.4810,334.29,44.72
,,,2040,3.4890,335.38,45.06
,,,2050,3.4115,335.32,45.37
,,,2060,3.4450,336.69,45.62
,,,2070,3.4663,335.65,45.87
,,,2080,3.5471,335.63,46.09
,,,2090,3.4940,335.25,46.29
,,,2100,3.5206,16.73,138.09
,,,2110,3.3683,336.34,129.08
,,,2120,3.5494,335.53,120.98
,,,2130,3.5118,335.61,113.69
,,,2140,3.4515,336.33,107.12
,,,2150,3.5051,336.27,101.20
,,,2160,3.4981,335.53,95.89
,,,2170,3.4403,335.77,91.11
,,,2180,3.3440,335.71,86.80
,,,2190,3.4226,335.99,82.93
,,,2200,3.4182,335.28,79.45
,,,2210,3.3966,335.10,76.32
,,,2220,3.3739,335.23,73.50
,,,2230,3.4621,335.48,70.96
,,,2240,3.4298,335.91,68.67
,,,2250,3.3445,26.08,123.66
,,,2260,3.5224,336.83,116.09
,,,2270,3.5108,335.66,109.29
,,,2280,3.4151,336.84,103.15
,,,2290,3.3454,336.30,97.63
,,,2300,3.4006,335.07,92.68
,,,2310,3.4663,335.24,88.23
,,,2320,3.3915,336.09,84.21
,,,2330,3.4078,335.68,80.59
,,,2340,3.3955,335.60,77.34
,,,2350,3.4322,336.32,74.40
,,,2360,3.4192,319.13,72.02
,,,2370,3.4510,336.98,69.61
,,,2380,3.4442,337.47,67.43
,,,2390,3.3865,336.43,65.48
,,,2400,3.4473,336.25,63.73
,,,2410,3.4413,336.29,62.16
,,,2420,3.3827,335.52,60.75
,,,2430,3.3671,336.36,59.47
,,,2440,3.3824,335.42,58.33
,,,2450,3.3912,336.56,57.30
,,,2460,3.4186,335.85,56.37
,,,2470,3.3958,335.29,55.55
,,,2480,3.3964,335.87,54.80
,,,2490,3.3963,336.50,54.11
2500,3.3750,3.4107,,,,
,,,2500,3.3730,48287.26,48.73
,,,2510,3.3389,336.41,48.66
,,,2520,3.4021,336.25,48.59
,,,2530,3.3483,335.87,48.53
,,,2540,3.3182,336.13,48.48
,,,2550,3.3984,336.27,48.43
,,,2560,3.3342,336.94,48.38
,,,2570,3.3790,335.22,48.35
,,,2580,3.4170,335.42,48.33
,,,2590,3.3676,336.08,48.30
,,,2600,3.3963,336.29,48.26
,,,2610,3.3345,335.64,48.25
,,,2620,3.3171,335.11,48.24
,,,2630,3.4621,335.43,48.22
,,,2640,3.4475,335.23,48.21
,,,2650,3.2654,336.23,48.19
,,,2660,3.3332,335.53,48.18
,,,2670,3.2961,336.26,48.16
,,,2680,3.2415,335.80,48.15
,,,2690,3.3204,337.67,48.11
,,,2700,3.2708,335.43,48.11
,,,2710,3.3607,335.70,48.11
,,,2720,3.4466,335.73,48.10
,,,2730,3.3664,335.04,48.11
,,,2740,3.3903,335.40,48.11
,,,2750,3.4116,334.92,48.12
,,,2760,3.2484,335.51,48.11
,,,2770,3.3670,336.22,48.10
,,,2780,3.3797,335.26,48.10
,,,2790,3.3511,334.10,48.12
,,,2800,3.3720,335.12,48.13
,,,2810,3.2279,335.42,48.12
,,,2820,3.2211,47.48,77.29
,,,2830,3.3151,335.04,74.38
,,,2840,3.3014,336.09,71.74
,,,2850,3.4148,335.19,69.38
,,,2860,3.3019,334.84,67.26
,,,2870,3.3629,336.26,65.33
,,,2880,3.3288,335.54,63.61
,,,2890,3.3036,335.88,62.05
,,,2900,3.3567,335.27,60.66
,,,2910,3.3264,335.32,59.41
,,,2920,3.2328,335.26,58.28
,,,2930,3.3659,335.52,57.26
,,,2940,3.3337,335.50,56.34
,,,2950,3.2844,334.91,55.53
,,,2960,3.2875,336.21,54.77
,,,2970,3.2490,336.49,54.09
,,,2980,3.2498,336.08,53.48
,,,2990,3.2732,335.38,52.95
3000,3.2958,3.3434,,,,
,,,3000,3.4228,48067.54,47.68
